probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,
3.423317	446.320014	10.702000
3.424738	446.209252	10.802000
3.434600	445.467403	10.902000
3.430216	445.817021	11.002000
3.422831	446.323794	11.102000
3.430971	445.731254	11.202000
3.433982	445.494252	11.302000
3.423929	446.271063	11.402000
3.424979	446.209873	11.502000
3.435726	445.358306	11.602000
3.430798	445.704960	11.702000
3.421598	446.419653	11.802000
3.429774	445.828765	11.902000
3.435954	445.329109	12.002000
3.425669	446.103730	12.102000
3.423262	446.288370	12.202000
3.434390	445.421119	12.302000
3.432369	445.574355	12.402000
3.423335	446.269479	12.502000
3.428849	445.864304	12.602000
3.434943	445.417007	12.702000
3.426076	446.085933	12.802000
3.423890	446.205251	12.902000
3.434637	445.393930	13.002000
3.433406	445.474823	13.102000
3.422249	446.329824	13.202000
3.426874	446.034355	13.302000
3.436212	445.334797	13.402000
3.428362	445.873596	13.502000
3.422389	446.301072	13.602000
3.432076	445.590244	13.702000
3.434210	445.434387	13.802000
3.423797	446.197620	13.903000
3.425887	446.067710	14.002000
3.434839	445.387153	14.102000
3.428744	445.841282	14.202000
3.422360	446.342739	14.302000
3.432155	445.596026	14.402000
3.434974	445.382940	14.502000
3.423405	446.203772	14.602000
3.423694	446.237439	14.702000
3.435037	445.409923	14.802000
3.431338	445.654697	14.902000
3.421980	446.282738	15.002000
3.428822	445.816390	15.102000
3.434836	445.360939	15.202000
3.425438	446.061438	15.302000
3.423148	446.269606	15.402000
3.433330	445.496458	15.502000
3.431275	445.617726	15.602000
3.421937	446.304098	15.703000
3.427788	445.912497	15.802000
3.435278	445.319436	15.902000
3.425400	446.015086	16.003000
3.421235	446.371795	16.102000
3.432590	445.538057	16.203000
3.433107	445.505187	16.302000
3.422144	446.220283	16.402000
3.425138	446.032729	16.502000
3.434137	445.365318	16.602000
3.427495	445.867084	16.702000
3.421707	446.300875	16.802000
3.431052	445.626958	16.902000
3.432920	445.431904	17.002000
3.422268	446.229174	17.102000
3.424393	446.115403	17.202000
3.434592	445.298763	17.302000
3.428071	445.770552	17.403000
3.420275	446.357642	17.502000
3.429529	445.711504	17.602000
3.434482	445.327438	17.702000
3.423450	446.083362	17.802000
3.422472	446.195979	17.902000
3.432856	445.385722	18.002000
3.429703	445.665846	18.102000
3.421509	446.267223	18.202000
3.428445	445.757519	18.302000
3.433716	445.347621	18.402000
3.423838	446.042689	18.502000
3.422055	446.188608	18.602000
3.433034	445.402442	18.702000
3.431031	445.518108	18.802000
3.420882	446.265952	18.902000
3.426631	445.874072	19.002000
3.434842	445.244139	19.102000
3.426042	445.841811	19.202000
3.420667	446.240799	19.302000
